"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"06/29/2004","BB-200404564","Building/Historical/NA/NA","Building",,"AMERICA'S MART BLDG 2 - SPACE 738B","Converted",
"06/29/2004","BB-200404565","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9C - 16","Converted",
"06/16/2004","BLC3-200401203","Building/Historical/NA/NA","Building",,"AMERICA'S MART BLDG 2 - SPACE 738B / AMERICA'S MART 2","APPR",
"06/16/2004","BLC3-200401201","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9C - 16 / AMERICA'S MART 1","APPR",
"06/09/2004","BB-200404019","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 5D-1-3","Converted",
"06/09/2004","BB-200404021","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 750B, 752A","Converted",
"06/09/2004","BB-200404020","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-D-13","Converted",
"06/08/2004","BLC3-200401129","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-D-13 / AMERICA'S MART 1","APPR",
"06/08/2004","BLC3-200401130","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 5D-1-3 / AMERICA'S MART 1","APPR",
"06/08/2004","BLC3-200401128","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 750B, 752A / AMERICA'S MART 2","APPR",
"05/21/2004","BLC3-200401026","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 809 / AMERICA'S MART 2","APPR",
"05/21/2004","BB-200403594","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 809","Converted",
"05/19/2004","BB-200403504","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-E-11","Converted",
"05/14/2004","BLC3-200400959","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 9-E-11 / AMERICA'S MART 1","APPR",
"05/10/2004","BB-200403230","Building/Historical/NA/NA","Building",,"AMERICA'S MART 1 - 15TH ELEVATOR LOBBY","Converted",
"05/10/2004","BB-200403231","Building/Historical/NA/NA","Building",,"AMERICA'S MART 1 - SPACE 3C 5 & 7","Converted",
"05/05/2004","BLC3-200400877","Building/Historical/NA/NA","Building",,"AMERICA'S MART 1 - SPACE 3C 5 & 7 / AMERICA'S MART 1","APPR",
"05/05/2004","BLC3-200400875","Building/Historical/NA/NA","Building",,"AMERICA'S MART 1 - 15TH ELEVATOR LOBBY / AMERICA'S MART 1","APPR",
"04/23/2004","BB-200402814","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1212","Converted",
"04/19/2004","BLC3-200400748","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1212 / AMERICA'S MART 2","APPR",
"03/29/2004","BB-200402118","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1417","APPR",
"03/22/2004","BLC3-200400499","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1417 / AMERICA'S MART 2","APPR",
"02/06/2004","BB-200400798","Building/Historical/NA/NA","Building",,"APARTMENTS - FIRE DAMAGE REPAIRS","Converted",
"02/06/2004","B-M4-200400201","Building/Historical/NA/NA","Building",,"APARTMENTS - FIRE DAMAGE REPAIRS","APPR",
"12/31/2003","BB-200308788","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 8-E-109A","Converted",
"12/23/2003","BLC3-200302654","Building/Historical/NA/NA","Building",,"MART 3 - SPACE 8-E-109A / AMERICA'S MART 3","APPR",
"12/15/2003","BB-200308500","Building/Historical/NA/NA","Building",,"AMERICA'S MART 2 SPACE 1354B","APPROVED",
"12/12/2003","BLC3-200302574","Building/Historical/NA/NA","Building",,"AMERICA'S MART 2 SPACE 1354B / AMERICA'S MART 2","APPR",
"12/08/2003","BB-200308344","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 634B","APPROVED",
"12/05/2003","BLC3-200302513","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 634B / AMERICA'S MART 2","APPR",
"11/20/2003","BB-200307963","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 935 B","APPROVED",
"11/20/2003","BB-200307964","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 20-C-1,3,5","APPROVED",
"11/20/2003","BB-200307962","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1125 - 1127","APPROVED",
"11/14/2003","BLC3-200302385","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1125 - 1127 / AMERICA'S MART 2","APPR",
"11/07/2003","BB-200307635","Building/Historical/NA/NA","Building",,"MART 2 - NILAN SHOWROOM - SUITE 1800","APPROVED",
"11/07/2003","BLC3-200302386","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 935 B / AMERICA'S MART 2","APPR",
"11/07/2003","BLC3-200302387","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 20-C-1,3,5 / AMERICA'S MART 1","APPR",
"11/06/2003","BLC3-200302276","Building/Historical/NA/NA","Building",,"MART 2 - NILAN SHOWROOM - SUITE 1800 / AMERICA'S MART 2","APPR",
"10/06/2003","BB-200306801","Building/Historical/NA/NA","Building",,"AMERICA'S MART 2","Converted",
"10/02/2003","BLC3-200301977","Building/Historical/NA/NA","Building",,"AMERICA'S MART 2","APPR",
"06/23/2003","BB-200304230","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1805","Converted",
"06/23/2003","BB-200304231","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-6, 8, 10","Converted",
"06/23/2003","BB-200304229","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 752B","Converted",
"06/18/2003","BLC3-200301244","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 1805 / AMERICA'S MART 2","APPR",
"06/18/2003","BLC3-200301242","Building/Historical/NA/NA","Building",,"MART 2 - SPACE 752B / AMERICA'S MART 2","APPR",
"06/18/2003","BLC3-200301245","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 19-E-6, 8, 10 / AMERICA'S MART 1","APPR",
"05/27/2003","BB-200303470","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 12 A 9","Converted",
"05/21/2003","BLC3-200300990","Building/Historical/NA/NA","Building",,"MART 1 - SPACE 12 A 9 / AMERICA'S MART 1","APPR",
"12/11/2002","BB-200208313","Building/Historical/NA/NA","Building",,"HCC GEN. REPRS - CHG CONTRACTOR","EXPR",
"12/04/2002","BB-200208114","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1407 / AMERICA'S MART 2","APPROVED",
"11/26/2002","BLC3-200202515","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 1407 / AMERICA'S MART 2","APPR",
"11/12/2002","BB-200207625","Building/Historical/NA/NA","Building",,"MART 2 - SHOWROOM 1800","Converted",
"11/08/2002","BLC3-200202366","Building/Historical/NA/NA","Building",,"MART 2 - SHOWROOM 1800 / AMERICA'S MART 2","APPR",
"10/31/2002","B-R4-200202023","Building/Historical/NA/NA","Building",,"HCC GEN. REPRS - CHG CONTRACTOR","APPR",
"06/20/2002","BB-200204155","Building/Historical/NA/NA","Building",,"WORLD PREMIER - SUITE 1525","Converted",
"06/17/2002","BLC3-200201291","Building/Historical/NA/NA","Building",,"WORLD PREMIER - SUITE 1525 / AMERICA'S MART 2","APPR",
"06/14/2002","BB-200204023","Building/Historical/NA/NA","Building",,"MERCHANDISE MART - SUITE 10E-2 / AMERICA'S MART 1","Converted",
"06/11/2002","BLC3-200201227","Building/Historical/NA/NA","Building",,"MERCHANDISE MART - SUITE 10E-2 / AMERICA'S MART 1","APPR",
"06/07/2002","BLC3-200201196","Building/Historical/NA/NA","Building",,"FESTIVITIES - SUITE 3720","APPR",
"06/07/2002","BB-200203848","Building/Historical/NA/NA","Building",,"FESTIVITIES - SUITE 3720","Converted",
"06/07/2002","BB-200203847","Building/Historical/NA/NA","Building",,"HELVESTON & ASSOCIATES - SUITE 1700","Converted",
"06/04/2002","BLC3-200201165","Building/Historical/NA/NA","Building",,"HELVESTON & ASSOCIATES - SUITE 1700 / AMERICA'S MART 2","APPR",
"06/03/2002","BB-200203729","Building/Historical/NA/NA","Building",,"LANE & LANE - SUITE 13-E-6","Converted",
"05/24/2002","BLC3-200201116","Building/Historical/NA/NA","Building",,"LANE & LANE - SUITE 13-E-6 / AMERICA'S MART 1","APPR",
"05/16/2002","BB-200203284","Building/Historical/NA/NA","Building",,"GIFT MART - SUITE 1503 / AMERICA'S MART 2","Converted",
"05/16/2002","BB-200203282","Building/Historical/NA/NA","Building",,"SOUTHERN ACCESSORIES - SUITE 12-A-2 / AMERICA'S MART 1","Converted",
"05/14/2002","BLC3-200201001","Building/Historical/NA/NA","Building",,"GIFT MART - SUITE 1503 / AMERICA'S MART 2","APPR",
"05/14/2002","BLC3-200201002","Building/Historical/NA/NA","Building",,"SOUTHERN ACCESSORIES - SUITE 12-A-2 / AMERICA'S MART 1","APPR",
"04/23/2002","BB-200202699","Building/Historical/NA/NA","Building",,"SPACE 13 E 10 / MERCHANDISE MART","Converted",
"04/19/2002","BLC3-200200809","Building/Historical/NA/NA","Building",,"SPACE 13 E 10 / MERCHANDISE MART","APPR",
"11/21/2001","BB-200107422","Building/Historical/NA/NA","Building",,"DARRAH & CO - STE 1819","Converted",
"11/21/2001","BB-200107421","Building/Historical/NA/NA","Building",,"HALVESTON SUITE 1712","Converted",
"11/15/2001","BLC3-200102569","Building/Historical/NA/NA","Building",,"SUITE 1712 HALVESTON- INTERIOR ALTERATIO","APPR",
"11/15/2001","BLC3-200102568","Building/Historical/NA/NA","Building",,"SUITE 1819 DARRAH & CO-INTERIOR ALTERATI","APPR",
"08/06/2001","BB-200104969","Building/Historical/NA/NA","Building",,"HILL  STREET WAREHOUSE","Converted",
"07/27/2001","BLC1-200101741","Building/Historical/NA/NA","Building",,"ADDITION TO WAREHOUSE / HILL STREET WAREHOUS","APPR",
"06/21/2001","BB-200103873","Building/Historical/NA/NA","Building",,"STE #619B","Converted",
"06/19/2001","BLC3-200101360","Building/Historical/NA/NA","Building",,"SUITE 619 B / ATLANTA GIFT MART","APPR",
"05/30/2001","BB-200103297","Building/Historical/NA/NA","Building",,"STE 12A-2 / AMERICA'S MART","Converted",
"05/24/2001","BLC3-200101120","Building/Historical/NA/NA","Building",,"SUITE 12 A-2 / AMERICA'S MART","APPR",
"05/14/2001","BB-200102918","Building/Historical/NA/NA","Building",,"SPACE #1334 A & B / ATLANTA GIFT MART","Converted",
"05/08/2001","BLC3-200100966","Building/Historical/NA/NA","Building",,"1334 A & B / ATLANTA GIFT MART","APPR",
"04/03/2001","BB-200101980","Building/Historical/NA/NA","Building",,"SPACE #1807 / AMERICA'S MART 2","Converted",
"03/29/2001","BLC3-200100646","Building/Historical/NA/NA","Building",,"SPACE 1807 / ATLANTA GIFT MART","APPR",
"03/09/2001","BB-200101441","Building/Historical/NA/NA","Building",,"GENERAL REPAIRS","EXPR",
"03/09/2001","B-R4-200100405","Building/Historical/NA/NA","Building",,"","Converted",
"02/13/2001","BB-200100831","Building/Historical/NA/NA","Building",,"SPACES 1837A, 1837B & 1839","Converted",
"02/07/2001","BLC3-200100228","Building/Historical/NA/NA","Building",,"INTERIOR ALTERATION","APPR",
"11/08/2000","BB-200007707","Building/Historical/NA/NA","Building",,"THE NILAN CO STE 1800","Converted",
"10/27/2000","BB-200007378","Building/Historical/NA/NA","Building",,"DARAH AND CO SP 1818","Converted",
"10/27/2000","BB-200007379","Building/Historical/NA/NA","Building",,"NAPP-DEADY INC STE 1100","Converted",
"10/27/2000","BB-200007380","Building/Historical/NA/NA","Building",,"NEW CREATIVE ENTERPRISES SP 1411","Converted",
"10/25/2000","BLC3-200001455","Building/Historical/NA/NA","Building",,"","APPR",
"10/25/2000","BLC3-200001454","Building/Historical/NA/NA","Building",,"","APPR",
"10/25/2000","BLC3-200001456","Building/Historical/NA/NA","Building",,"","APPR",
